longitude        latitude        elevation           val1     val2
109.1312302     50.32508570     265.5949707          75      17
108.8861851     50.32058846     262.0525513          76      17
108.6411923     50.31553820     257.5653687          77      17
108.3962584     50.30993485     247.5435333          78      17
108.1513890     50.30377877     242.0498810          79      17
107.9065906     50.29707020     234.7764740          80      17
107.6618690     50.28980942     231.0816040          81      17
107.4172301     50.28199668     229.7186890          82      17
107.1726820     50.27363239     224.7214050          83      17
106.9282252     50.26471668     221.4371033          84      17
106.6838707     50.25525006     220.3857727          85      17
106.4396234     50.24523288     218.9130249          86      17
106.1954889     50.23466552     217.1029968          87      17
105.9514749     50.22354847     216.7305145          88      17
105.7075838     50.21188201     214.2465057          89      17
105.4638212     50.19966657     208.2532196          90      17
105.2201972     50.18690284     203.8936005          91      17
104.9767138     50.17359112     201.7342987          92      17
104.7333821     50.15973222     205.9759369          93      17
104.4902044     50.14532650     217.8750458          94      17
104.2471843     50.13037438     219.1230011          95      17
104.0043286     50.11487648     217.2938690          96      17
103.7616477     50.09883373     211.5133514          97      17
103.5191404     50.08224628     202.7792511          98      17
103.2768194     50.06511526     190.7952118          99      17
103.0346852     50.04744097     187.3971863         100      17
102.7927451     50.02922422     189.3332825         101      17
102.5510047     50.01046572     200.2746429         102      17
102.3094672     49.99116597     203.4290771         103      17
102.0681449     49.97132628     200.1481476         104      17
101.8270390     49.95094708     191.9384155         105      17
101.5861517     49.93002885     189.3885651         106      17
101.3454936     49.90857283     184.2244568         107      17
101.1050657     49.88657961     181.9416962         108      17
113.5530353     50.46733089     256.4128113          57      18
113.3072268     50.47281989     258.2363892          58      18
113.0613606     50.47775384     262.7612000          59      18
112.8154417     50.48213256     267.8697815          60      18
112.5694773     50.48595585     276.3580933          61      18
112.3234737     50.48922356     283.9030762          62      18
112.0774368     50.49193556     286.4993591          63      18
111.8313729     50.49409175     286.8975830          64      18
111.5852881     50.49569203     285.1038818          65      18
111.3391887     50.49673634     283.3694458          66      18
111.0930807     50.49722465     281.3844299          67      18
110.8469704     50.49715693     275.7918396          68      18
110.6008640     50.49653319     273.7548523          69      18
110.3547675     50.49535344     272.3133545          70      18
110.1086873     50.49361774     278.4739380          71      18
109.8626294     50.49132616     284.8931580          72      18
109.6166000     50.48847879     289.5089417          73      18
109.3706054     50.48507573     287.1111450          74      18
109.1246515     50.48111713     274.6199646          75      18
108.8787447     50.47660314     268.1020203          76      18
108.6328911     50.47153395     257.2464905          77      18
108.3870965     50.46590975     248.9999237          78      18
108.1413673     50.45973076     242.2502289          79      18
107.8957099     50.45299724     239.0190735          80      18
107.6501301     50.44570944     236.6864014          81      18
107.4046338     50.43786766     229.8580170          82      18
107.1592293     50.42947227     225.2868958          83      18
106.9139172     50.42052342     222.7717896          84      18
106.6687083     50.41102163     221.9596100          85      18
106.4236078     50.40096725     220.4738464          86      18
106.1786213     50.39036065     221.0393219          87      18
105.9337565     50.37920234     219.9052582          88      18
105.6890160     50.36749260     217.3486176          89      18
105.4444052     50.35523186     210.9011536          90      18
105.1999346     50.34242081     206.7488708          91      18
104.9556061     50.32905976     204.7002716          92      18
104.7114308     50.31514953     204.5827179          93      18
104.4674111     50.30069047     218.2554321          94      18
104.2235507     50.28568302     221.4986115          95      18
103.9798564     50.27012780     217.9493408          96      18
103.7363387     50.25402574     212.2740326          97      18
